"01;974;0000;SAINT DENIS;974;027"
"01;999;0000;Caisse de TEST;999;999"
"02;011;0000;BOURG EN BRESSE;011;011"
"02;015;0000;BOURG EN BRESSE;011;011"
"02;021;0000;LAON;021;591"
"02;025;0000;LAON;021;591"
"02;022;0000;LAON;022;591"
"02;031;0000;MOULINS;031;031"
"02;035;0000;MOULINS;031;031"
"02;032;0000;MOULINS;032;752"
"02;051;0000;GAP;051;301"
"02;055;0000;GAP;051;301"
"02;061;0000;NICE;061;381"
"02;065;0000;NICE;061;381"
"02;071;0000;PRIVAS;071;381"
"02;075;0000;PRIVAS;071;381"
"02;081;0000;CHARLEVILLE;081;541"
"02;085;0000;CHARLEVILLE;081;541"
"02;091;0000;FOIX;091;821"
"02;095;0000;FOIX;091;821"
"02;101;0000;TROYES;101;541"
"02;105;0000;TROYES;101;541"
"02;102;0000;TROYES;102;541"
"02;111;0000;CARCASSONNE;111;821"
"02;115;0000;CARCASSONNE;111;821"
"02;121;0000;RODEZ;121;821"
"02;125;0000;RODEZ;121;821"
"02;122;0000;RODEZ;122;821"
"02;131;0000;MARSEILLE;131;131"
"02;135;0000;MARSEILLE;131;131"
"02;141;0000;CAEN;141;351"
"02;145;0000;CAEN;141;351"
"02;142;0000;CAEN;142;351"
"02;151;0000;AURILLAC;151;381"
"02;155;0000;AURILLAC;151;381"
"02;161;0000;ANGOULEME;161;821"
"02;165;0000;ANGOULEME;161;821"
"02;162;0000;ANGOULEME;162;752"
"02;171;0000;SAINTES;171;171"
"02;175;0000;SAINTES;171;171"
"02;172;0000;LA ROCHELLE;172;752"
"02;181;0000;BOURGES;181;591"
"02;185;0000;BOURGES;181;591"
"02;182;0000;BOURGES;182;591"
"02;191;0000;TULLE;191;821"
"02;195;0000;TULLE;191;821"
"02;201;0000;AJACCIO;201;381"
"02;205;0000;AJACCIO;201;381"
"02;211;0000;DIJON;211;541"
"02;215;0000;DIJON;211;541"
"02;212;0000;DIJON;212;541"
"02;221;0000;SAINT BRIEUC;221;351"
"02;225;0000;SAINT BRIEUC;221;351"
"02;222;0000;SAINT BRIEUC;222;351"
"02;231;0000;GUERET;231;821"
"02;235;0000;GUERET;231;821"
"02;232;0000;GUERET;232;821"
"02;241;0000;PERIGUEUX;241;821"
"02;245;0000;PERIGUEUX;241;821"
"02;242;0000;PERIGUEUX;242;821"
"02;251;0000;BESANCON;251;541"
"02;255;0000;BESANCON;251;541"
"02;252;0000;BESANCON;252;541"
"02;261;0000;VALENCE;261;381"
"02;265;0000;VALENCE;261;381"
"02;271;0000;EVREUX;271;591"
"02;275;0000;EVREUX;271;591"
"02;272;0000;EVREUX;272;591"
"02;281;0000;CHARTRES;281;411"
"02;285;0000;CHARTRES;281;411"
"02;282;0000;CHARTRES;282;752"
"02;291;0000;LANDERNEAU;291;351"
"02;295;0000;LANDERNEAU;291;351"
"02;292;0000;BREST;292;351"
"02;301;0000;NIMES;301;301"
"02;305;0000;NIMES;301;301"
"02;311;0000;TOULOUSE;311;821"
"02;315;0000;TOULOUSE;311;821"
"02;312;0000;TOULOUSE;312;821"
"02;321;0000;AUCH;321;321"
"02;325;0000;AUCH;321;321"
"02;322;0000;AUCH;322;321"
"02;331;0000;BORDEAUX;331;331"
"02;335;0000;BORDEAUX;331;331"
"02;332;0000;BORDEAUX;332;331"
"02;341;0000;MONTPELLIER;341;341"
"02;345;0000;MONTPELLIER;341;341"
"02;342;0000;MONTPELLIER;342;341"
"02;351;0000;RENNES;351;351"
"02;355;0000;RENNES;351;351"
"02;352;0000;RENNES;352;351"
"02;361;0000;CHATEAUROUX;361;591"
"02;365;0000;CHATEAUROUX;361;591"
"02;362;0000;CHATEAUROUX;362;591"
"02;371;0000;TOURS;371;411"
"02;375;0000;TOURS;371;411"
"02;372;0000;TOURS;372;411"
